ID	Day	Empty	Multiple	Dead.Stain..intensity.	Total.Reads	Uniquely Aligned
d0_Col_06_Row_16	0	FALSE	FALSE	248.682	43365	20634
d0_Col_06_Row_17	0	FALSE	FALSE	66.651	370291	183211
d0_Col_06_Row_18	0	FALSE	FALSE	66.307	542912	289521
d0_Col_06_Row_19	0	FALSE	FALSE	167.594	47941	21225
d0_Col_06_Row_20	0	FALSE	FALSE	178.735	42256	15296
d0_Col_06_Row_21	0	FALSE	FALSE	66.414	402211	206422
d0_Col_06_Row_22	0	FALSE	FALSE	66.868	425205	226321
d0_Col_06_Row_23	0	FALSE	FALSE	66.556	489351	251278
d0_Col_06_Row_24	0	FALSE	FALSE	66.711	335287	163311
d0_Col_06_Row_25	0	FALSE	FALSE	71.295	358866	169588
d0_Col_06_Row_26	0	FALSE	FALSE	66.619	478528	247478
d0_Col_06_Row_27	0	FALSE	FALSE	66.799	481911	246819
d0_Col_06_Row_28	0	FALSE	FALSE	186.725	32309	15112
d0_Col_06_Row_29	0	FALSE	FALSE	66.81	253277	125151
d0_Col_06_Row_30	0	FALSE	FALSE	66.868	290571	143241
d0_Col_06_Row_31	0	FALSE	FALSE	66.672	350649	174199
d0_Col_06_Row_32	0	FALSE	FALSE	66.597	138744	59847
d0_Col_06_Row_33	0	FALSE	FALSE	66.335	314597	156022
d0_Col_06_Row_34	0	FALSE	FALSE	66.407	562169	281158
d0_Col_06_Row_35	0	FALSE	FALSE	66.212	453738	232325
d0_Col_06_Row_36	0	FALSE	FALSE	66.38	467964	241511
d0_Col_06_Row_37	0	FALSE	FALSE	66.263	458391	234398
d0_Col_06_Row_38	0	FALSE	FALSE	66.309	411824	211759
d0_Col_06_Row_39	0	FALSE	FALSE	66.485	442708	232764
d0_Col_06_Row_40	0	FALSE	FALSE	66.663	444861	223404
d0_Col_07_Row_1	0	FALSE	FALSE	66.784	507517	247383
d0_Col_07_Row_2	0	FALSE	FALSE	66.793	763535	404423
d0_Col_07_Row_3	0	FALSE	FALSE	66.777	565020	264837
d0_Col_07_Row_4	0	FALSE	FALSE	66.972	435678	205907
d0_Col_07_Row_5	0	FALSE	FALSE	66.68	403678	191883
d0_Col_07_Row_6	0	FALSE	FALSE	66.304	318380	154570
